#options: 1280x720 fps=25/1 timebase=1/25 bitdepth=8 cabac=1 ref=1 deblock=1:0:0 analyse=0x1:0 me=dia subme=2 psy=1 psy_rd=1.00:0.00 mixed_ref=0 me_range=16 chroma_me=1 trellis=0 8x8dct=0 cqm=0 deadzone=21,11 fast_pskip=1 chroma_qp_offset=0 threads=22 lookahead_threads=5 sliced_threads=0 nr=0 decimate=1 interlaced=0 bluray_compat=0 constrained_intra=0 bframes=3 b_pyramid=2 b_adapt=1 b_bias=0 direct=3 weightb=1 open_gop=0 weightp=2 keyint=250 keyint_min=25 scenecut=40 intra_refresh=0 rc_lookahead=50 rc=abr mbtree=1 bitrate=1000 ratetol=1.0 qcomp=0.60 qpmin=0 qpmax=69 qpstep=4 ip_ratio=1.40 aq=1:1.00
in:56 out:53 type:P dur:2 cpbdur:2 q:41.87 aq:39.50 tex:58421 mv:22546 misc:2737 imb:1038 pmb:1424 smb:1138 d:t ref:0 ;
in:54 out:54 type:B dur:2 cpbdur:2 q:41.36 aq:41.40 tex:12920 mv:9694 misc:2834 imb:113 pmb:864 smb:2623 d:t ref:0 ;
in:53 out:55 type:b dur:2 cpbdur:2 q:41.11 aq:43.52 tex:3793 mv:5274 misc:2181 imb:21 pmb:548 smb:3031 d:s ref:0 ;
in:55 out:56 type:b dur:2 cpbdur:2 q:41.62 aq:44.08 tex:3936 mv:5547 misc:2189 imb:25 pmb:528 smb:3047 d:- ref:0 ;
in:60 out:57 type:P dur:2 cpbdur:2 q:42.43 aq:40.53 tex:51242 mv:21396 misc:2994 imb:959 pmb:1327 smb:1314 d:t ref:0 ;
in:58 out:58 type:B dur:2 cpbdur:2 q:42.15 aq:42.94 tex:11073 mv:8583 misc:2720 imb:95 pmb:811 smb:2694 d:t ref:0 ;
in:57 out:59 type:b dur:2 cpbdur:2 q:42.01 aq:42.63 tex:3135 mv:4653 misc:2124 imb:23 pmb:494 smb:3083 d:s ref:0 ;
in:59 out:60 type:b dur:2 cpbdur:2 q:42.29 aq:45.19 tex:3453 mv:5046 misc:2021 imb:23 pmb:457 smb:3120 d:- ref:0 ;
in:64 out:61 type:P dur:2 cpbdur:2 q:42.69 aq:40.85 tex:48127 mv:20372 misc:3109 imb:963 pmb:1256 smb:1381 d:t ref:0 ;
in:62 out:62 type:B dur:2 cpbdur:2 q:42.56 aq:42.95 tex:9792 mv:8336 misc:2616 imb:86 pmb:735 smb:2779 d:t ref:0 ;
in:61 out:63 type:b dur:2 cpbdur:2 q:42.50 aq:45.78 tex:3180 mv:4209 misc:1939 imb:26 pmb:437 smb:3137 d:s ref:0 ;
in:63 out:64 type:b dur:2 cpbdur:2 q:42.63 aq:45.16 tex:3469 mv:5289 misc:2058 imb:25 pmb:484 smb:3091 d:- ref:0 ;
in:68 out:65 type:P dur:2 cpbdur:2 q:42.78 aq:40.56 tex:51477 mv:20108 misc:3007 imb:1043 pmb:1182 smb:1375 d:t ref:0 ;
in:66 out:66 type:B dur:2 cpbdur:2 q:42.73 aq:43.06 tex:9123 mv:8576 misc:2653 imb:75 pmb:796 smb:2729 d:t ref:0 ;
